69,0.9499,0.9564,0.9648,0.971,0.9851,0.992,0.9932,0.995
70,0.9505,0.957,0.9653,0.9714,0.9853,0.9921,0.9933,0.9951
71,0.9511,0.9575,0.9657,0.9717,0.9854,0.9922,0.9934,0.9951
72,0.9519,0.9581,0.9661,0.972,0.9856,0.9923,0.9934,0.9951
73,0.9524,0.9586,0.9665,0.9724,0.9858,0.9923,0.9935,0.9952
74,0.9529,0.9591,0.9669,0.9727,0.9859,0.9924,0.9936,0.9952
75,0.9535,0.9595,0.9673,0.973,0.9861,0.9925,0.9936,0.9953
76,0.9541,0.96,0.9677,0.9733,0.9862,0.9926,0.9937,0.9953
77,0.9545,0.9605,0.968,0.9736,0.9864,0.9926,0.9938,0.9954
78,0.9549,0.9609,0.9684,0.9739,0.9865,0.9927,0.9938,0.9954
79,0.9555,0.9613,0.9688,0.9742,0.9866,0.9928,0.9939,0.9955
80,0.956,0.9618,0.9691,0.9744,0.9868,0.9929,0.9939,0.9955
81,0.9564,0.9621,0.9694,0.9747,0.9869,0.9929,0.994,0.9955
82,0.9569,0.9626,0.9697,0.975,0.987,0.993,0.9941,0.9956
83,0.9573,0.9629,0.97,0.9752,0.9872,0.993,0.9941,0.9956
84,0.9579,0.9634,0.9704,0.9755,0.9873,0.9931,0.9942,0.9957
85,0.9584,0.9637,0.9707,0.9758,0.9874,0.9932,0.9942,0.9957
86,0.9587,0.9641,0.971,0.976,0.9875,0.9932,0.9943,0.9957
87,0.9592,0.9644,0.9712,0.9762,0.9877,0.9933,0.9943,0.9958
88,0.9595,0.9648,0.9715,0.9764,0.9878,0.9934,0.9944,0.9958
89,0.9601,0.9652,0.9718,0.9767,0.9879,0.9934,0.9944,0.9958
90,0.9605,0.9656,0.9722,0.9769,0.988,0.9935,0.9945,0.9959
91,0.9608,0.9659,0.9724,0.9771,0.9881,0.9935,0.9945,0.9959
92,0.9613,0.9663,0.9727,0.9774,0.9882,0.9936,0.9946,0.9959
93,0.9616,0.9666,0.9729,0.9775,0.9883,0.9936,0.9946,0.996
94,0.962,0.9669,0.9732,0.9777,0.9884,0.9937,0.9946,0.996
95,0.9622,0.9671,0.9734,0.978,0.9885,0.9937,0.9947,0.996
96,0.9628,0.9675,0.9736,0.9782,0.9886,0.9938,0.9947,0.9961
97,0.9629,0.9677,0.9738,0.9783,0.9887,0.9938,0.9948,0.9961
98,0.9633,0.9681,0.9741,0.9786,0.9888,0.9939,0.9948,0.9961
99,0.9637,0.9684,0.9744,0.9788,0.9889,0.9939,0.9948,0.9962
100,0.964,0.9687,0.9746,0.9789,0.989,0.994,0.9949,0.9962
